company_0,company_1,company_2,company_3,company_4,company_5,company_6,company_7,company_8,company_9
55.953745,51.298769,52.401936,51.638338,55.246443,59.675649,52.700708,55.250331,51.680644,55.636148
68.180574,64.015098,63.683185,59.615182,68.570138,72.804174,60.530800,69.361441,63.306171,67.841770
34.422746,30.206408,23.765229,28.093371,34.242038,30.050102,29.827737,35.568937,32.287652,36.598505
22.024698,17.618971,11.471334,21.513851,22.763077,16.684963,26.060797,19.853079,14.107058,35.137570
5.721775,6.366370,1.977781,9.080719,6.487599,4.730459,18.024161,10.003469,4.760097,5.157419
6.716612,4.196130,0.782222,6.111031,2.512918,3.302042,4.696537,3.479464,0.385703,0.422359
6.615655,5.315168,3.210293,4.193842,4.295650,8.312338,7.206103,5.266776,6.607958,5.913962
24.609012,21.472166,24.841577,19.212308,22.295721,27.495731,24.469867,29.121632,27.767272,20.686017
59.171578,54.092567,60.548545,53.390904,56.733947,57.308587,65.497123,63.269245,58.930084,55.506120
80.838436,87.815312,79.373574,73.824248,82.139820,75.915834,92.750153,85.268604,78.564551,76.785799
84.475887,95.482418,86.436088,79.418896,84.751250,76.939965,97.494712,87.362801,88.368302,89.790326
87.830127,93.458328,82.097162,90.657666,85.779494,82.638741,80.745104,91.235081,78.029229,89.992264
85.178067,83.533886,79.415919,88.174060,73.707604,74.254071,78.129151,90.807886,78.198038,83.416410
74.568061,74.027681,70.951346,80.221455,65.532576,67.594261,69.123133,84.291036,72.493132,76.358110
65.905853,63.425063,67.003985,72.653790,62.735731,66.689333,61.470553,76.954257,64.142044,79.101783
66.660825,64.031971,70.786942,69.914189,60.969910,61.801125,68.772122,82.746768,76.130789,77.587698
70.248281,75.880945,62.966948,71.132466,74.275296,71.828855,79.381557,76.184937,80.968791,73.103100
74.785224,80.099398,74.974750,69.735972,76.281919,86.421256,90.998230,85.154069,80.934829,75.274142
83.090076,86.328745,82.423188,84.098172,84.404279,91.854392,100.756943,90.325317,84.694888,80.868960
92.214091,98.910612,85.664759,88.950110,91.933205,97.303167,98.202473,94.460293,83.538394,86.162354
91.606737,98.161974,91.865833,96.000733,106.372888,105.262895,103.946828,95.119182,100.253342,98.238566
104.880353,94.471807,106.071031,91.542623,101.274854,103.544664,117.504192,97.002323,102.576406,103.746206
121.800726,100.998361,108.519040,103.803576,111.679362,109.197540,126.321430,107.638245,102.790725,109.711501
129.266276,106.089077,108.068183,109.115472,123.275901,98.750531,127.805186,115.137292,109.801636,113.518672
126.425333,113.752185,105.749101,114.166774,131.859275,121.597168,133.856564,130.172371,114.515737,123.520416
131.179717,122.551010,116.320753,122.392034,133.207468,131.734062,145.756628,127.141960,122.209738,133.866290
134.987647,125.578010,132.262241,125.333144,136.283122,148.546146,141.698385,142.010572,130.065874,149.592432
149.429270,141.062269,140.791867,142.590916,135.669283,147.444786,158.374485,147.951847,147.595201,158.640872
155.391225,152.199725,156.740733,151.480491,143.799098,161.672181,163.474132,150.698667,158.197380,167.698481
165.835743,155.725898,165.387567,152.067662,160.996686,177.268423,178.382248,163.710546,158.026714,160.689136
174.496984,165.591891,175.781499,158.969673,169.742657,182.010548,179.153103,176.025935,166.877297,174.222085
