action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9
70.475311,-1.938744,104.195366,-69.721649,0.034133,16.649319,-16.536760,-31.998287,22.703911,-130.219574
40.969414,-69.352097,50.845524,-21.397041,32.259541,90.898392,53.837708,78.650558,-55.187733,-7.460514
60.660770,-30.051338,22.436590,-34.111061,86.885330,-57.896927,123.954361,63.772530,-80.535683,-27.383533
23.745497,37.462158,53.440964,-21.709623,-3.912696,-86.463707,-32.295280,-9.656629,-34.834335,-2.052972
48.207161,56.660671,-29.920115,-45.506252,83.858810,136.838242,76.889557,-23.453098,-0.424014,58.806721
-71.858757,-79.661369,19.279606,-17.249268,2.945171,22.856821,43.075840,1.347828,21.491590,3.543559
58.431458,-99.570602,29.901514,-96.510925,15.066936,-119.472168,32.414200,-23.647696,110.554085,-39.154697
-29.130579,4.996438,24.745287,-15.934953,-18.987619,50.367180,35.230865,8.141076,-39.895569,-36.336170
-62.436146,55.010841,-26.302557,19.923603,-15.634776,91.983109,-52.996136,93.511620,37.806999,-34.914989
-56.285225,46.365234,-10.584658,57.734711,2.086618,-39.243114,26.952724,-8.657855,18.874212,2.547551
62.363483,34.798954,82.711227,-104.905739,15.579456,69.247803,58.196419,-38.316982,-12.243633,-48.931198
-9.164456,-6.486815,90.616058,40.588493,36.695686,65.345078,-6.070713,101.244591,-25.588177,-43.151928
31.701242,-32.712486,95.219872,29.428623,71.334740,19.323275,85.257973,-37.411167,-80.983711,-28.265882
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.243923,46.117821,16.129108,-24.190392,39.027107,103.682396,126.214081,13.731985,-15.153071,41.277374
-37.224739,-49.145229,17.423643,7.987863,14.060130,2.580671,74.491806,29.012596,60.647099,-23.529922
28.832809,-124.378326,24.534729,-63.872307,75.552055,-68.072418,-36.650200,-50.003845,106.990211,-12.217071
32.369511,-48.503822,74.339027,-82.517075,-31.134607,25.725864,103.424255,-58.993740,-10.152046,-11.835302
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-19.477026,-18.301479,13.510819,48.307789,13.223469,-23.521955,10.236861,-15.733525,10.738310,-32.045444
60.666901,33.044300,93.215729,-11.510607,-10.853713,88.584236,23.249069,-92.878708,36.964329,-101.516037
-37.101349,-38.835896,50.802902,24.070347,-8.676558,47.453514,23.858385,74.773163,0.383732,-44.548531
91.315300,-6.960713,48.926426,15.361885,19.795954,-11.128349,93.555145,44.783047,-30.423876,46.092850
12.609776,32.341984,43.611801,-61.015987,-24.869102,-124.264290,9.024111,18.762995,-61.702400,-58.212784
-64.555824,153.588745,-49.070347,4.538512,110.781937,113.203323,72.155243,-130.628510,-33.764957,75.627625
-32.173405,-125.114830,69.756386,68.128311,56.017879,82.292549,41.150394,45.045513,43.374313,18.220398
42.801464,-145.039703,64.960625,-47.154839,62.769695,-74.862480,35.276691,-61.043400,108.126457,-36.773449
-96.258598,33.894409,-34.165150,-58.713745,-99.055092,87.490379,92.327652,-67.315506,-57.762985,-20.439491
40.595909,41.600227,-29.662943,20.096788,-14.066921,84.092194,-7.500778,69.955269,20.167246,36.722027
62.496807,27.746103,-34.772423,7.888653,24.580000,-5.149440,123.131363,-87.758263,-75.417236,-41.967094
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-1.968244,-1.179616,43.664108,53.109879,32.732067,52.099854,23.812597,92.022934,-30.728302,-69.800583
57.273403,-33.839081,74.411079,-29.922440,19.598526,-4.703644,78.855881,15.006770,-42.004734,10.837935
-17.972265,-5.042269,75.897018,8.700995,-3.109466,-133.990082,-51.159107,24.607088,-64.827477,-52.081230
-31.156443,80.050339,-19.184189,-21.533417,89.278069,121.152229,99.157219,-7.379021,-14.872552,34.653240
-38.671535,-54.881714,43.321373,13.604361,55.958626,-3.413935,33.609417,-10.457655,-1.244591,9.572743
43.024960,-102.274048,60.479729,-24.354813,83.373375,-56.962284,-21.916218,-50.663597,132.161072,-3.495538
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-31.286860,71.670624,-45.555248,-5.313534,17.687618,54.317371,-40.835262,42.839863,39.040085,28.055368
8.952237,-30.579199,-47.303085,-4.760857,26.908804,-57.240383,50.942410,-43.587296,4.800577,-37.613651
90.706627,-15.858302,110.333977,-67.476021,50.551517,19.934925,2.083741,-88.200615,29.490499,-179.320480
-0.138146,-4.545990,83.127518,15.623461,63.505329,78.541222,13.791604,45.099243,-70.160912,-60.349182
47.882713,-39.339333,59.911770,25.577133,111.328110,2.860749,76.476814,-30.050014,-100.044373,-57.587234
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.845720,66.258789,-1.532466,-25.902634,58.304523,118.916458,69.918427,-39.270103,30.469715,58.355358
-43.057514,-7.024527,6.536936,22.262953,14.369453,52.096642,57.626472,30.858320,19.254864,-1.593077
55.724304,-148.328445,64.017914,-89.049339,28.085901,-110.376366,-21.083597,-49.301899,103.976204,-3.690347
-45.806057,-20.036423,30.359890,-55.459827,-56.639408,36.013893,65.016251,-38.746201,-10.496005,-15.281898
22.749601,66.076904,-4.106894,15.470018,9.038913,121.112907,-34.703560,77.883461,16.695179,1.013521
-19.879484,17.027964,7.132092,48.432178,3.303800,-23.618357,22.414471,-27.083769,-1.857789,-25.425665
89.566071,6.216590,33.697689,-28.954746,40.684017,83.172897,-19.899401,14.305207,2.443074,-115.456673
-37.582191,0.910404,51.370277,47.644691,85.634033,42.274185,35.654102,97.818687,-80.548927,-54.834526
